timestamp	invocation	ticket_file	severity	category	status	files_changed	lines_changed	smoke_result	revert_reason	time_estimate	root_cause_accurate	notes
2026-03-28T13:35	1	S0-001-payment-failure-no-plan-revoke.md	S0	billing	FIXED	1	38	PASS		2m	yes	Added _reconcile_payment_status() grace period check
2026-03-28T13:38	1	S0-002-elite-llm-no-tier-differentiation.md	S0	billing	FIXED	1	14	PASS		3m	yes	Tier-based model selection in chat-free endpoint
2026-03-28T13:41	1	S0-003-client-tier-gating-localstorage-bypass.md	S0	security	FIXED	1	39	PASS		3m	yes	Periodic server plan revalidation every 5min
2026-03-28T13:44	1	S0-004-early-adopter-slot-race-condition.md	S0	billing	FIXED	1	56	PASS		4m	yes	Atomic ea_reservations table with 30min expiry
2026-03-28T13:46	1	FUNC-070-dead-conditional-error-messages.md	P2	ux	FIXED	1	2	PASS		1m	yes	Differentiated timeout vs error messages
2026-03-28T13:48	1	S1-004-render-disk-1gb-too-small.md	S1	performance	FIXED	1	1	PASS		0.5m	yes	sizeGB 1→2
2026-03-28T13:48	1	S1-008-context-menu-copy-no-clipboard-fallback.md	S1	ui-bug	FIXED	1	2	PASS		1m	yes	Added _fallbackCopy in catch
2026-03-28T13:48	1	S1-006-watchlist-cross-tab-race-condition.md	S1	ui-bug	FIXED	1	8	PASS		2m	yes	Storage event listener for cross-tab sync
2026-03-28T13:52	1	S1-003-rate-limiters-reset-on-restart.md	S1	security	FIXED	1	69	PASS		5m	yes	SQLite-backed rate_limits table, all 5 limiters
2026-03-28T13:55	1	S1-007-virtual-scroll-blank-rows-fast-scroll.md	S1	ui-bug	FIXED	1	3	PASS		1m	yes	Widened lazy build buffer 10→20
2026-03-28T13:58	1	S1-005-users-db-no-connection-pool.md	S1	performance	FIXED	2	37	PASS		3m	yes	Queue-based pool maxsize=5 with health check
2026-03-28T14:02	1	S1-013-no-per-email-login-lockout.md	S1	security	FIXED	1	30	PASS		3m	yes	Per-email rate limiter, 5 fails per 5min
2026-03-28T14:02	1	S1-014-unprotected-json-parse-league-intel.md	S1	ui-bug	FIXED	1	6	PASS		2m	yes	try/catch on 3 JSON.parse(localStorage) calls
2026-03-28T14:05	1	S3-017-formula-builder-no-division-zero-protection.md	S3	ui-bug	FIXED	1	2	PASS		1m	yes	isFinite guard on formula results
2026-03-28T14:05	1	S3-016-pos-colors-defined-3-times.md	S3	ui-bug	FIXED	4	4	PASS		2m	yes	getPosColors() with fallback
2026-03-28T14:08	1	S2-001-gradient-violation-prompts-html.md	S2	design	FIXED	1	1	PASS		1m	yes	Solid bg+opacity instead of gradient
2026-03-28T14:08	1	S2-005-off-token-border-radius-14px.md	S2	design	FIXED	5	5	PASS		2m	yes	var(--radius) and var(--radius-lg)
2026-03-28T14:08	1	S2-008-1px-borders-to-2px-minimum.md	S2	design	FIXED	7	16	PASS		3m	yes	1px solid→2px solid in 6 JS files
2026-03-28T14:15	1	S2-002-cold-black-rgba-agents-html.md	S2	design	FIXED	1	3	PASS		1m	yes	rgba(0,0,0)→rgba(45,31,20) espresso
2026-03-28T14:15	1	S2-003-cold-black-rgba-lab-overlays.md	S2	design	FIXED	2	3	PASS		1m	yes	Dark mode overlays use espresso
2026-03-28T14:15	1	S2-004-hardcoded-white-in-js-canvas.md	S2	design	FIXED	2	2	PASS		1m	yes	var(--text-on-accent) and t.white
2026-03-28T14:15	1	S2-006-normalize-box-shadow-3px-5px.md	S2	design	FIXED	20	42	PASS		5m	yes	3px→4px resting, 5px→6px hover
2026-03-28T14:15	1	S2-007-blur-shadows-to-flat-offset.md	S2	design	FIXED	1	4	PASS		2m	yes	Blur shadows→flat borders
2026-03-28T14:18	1	S3-003-hardcoded-text-shadow-rgba.md	S3	design	FIXED	5	8	PASS		3m	yes	--shadow-text CSS var, dark mode flip
2026-03-28T14:18	1	S3-004-hardcoded-drop-shadow-rgba.md	S3	design	FIXED	3	4	PASS		2m	yes	--shadow-drop CSS var, dark mode flip
2026-03-28T14:20	1	S2-015-missing-hover-lift-panel-cards.md	S2	design	FIXED	1	7	PASS		1m	yes	.card-hover utility class
2026-03-28T14:22	1	S2-010-bare-monospace-canvas-fonts.md	S2	design	FIXED	2	17	PASS		2m	yes	Space Mono in 17 canvas font calls
2026-03-28T14:24	1	S2-012-trial-expiry-silent-demotion.md	S2	ux	FIXED	1	22	PASS		3m	yes	Trial expired modal with conversion CTA
2026-03-28T14:26	1	S3-015-sidebar-search-no-empty-state.md	S3	ux	FIXED	1	17	PASS		2m	yes	"nothing matches" empty state
2026-03-28T14:28	1	S3-031-export-panel-csv-missing-bom.md	S3	ui-bug	FIXED	1	1	PASS		0.5m	yes	UTF-8 BOM prefix
2026-03-28T14:28	1	S3-032-confirm-blocks-ui-thread.md	S3	ui-bug	FIXED	1	10	PASS		2m	yes	Inline "sure?" confirmation pattern
2026-03-28T14:30	1	S3-034-response-cache-eviction-sort.md	S3	performance	FIXED	1	3	PASS		1m	yes	heapq.nsmallest instead of sorted
2026-03-28T14:35	1	S0-005-standalone-pages-redirect-break-shared-urls.md	S0	ux	FIXED	64	64	PASS		3m	yes	Removed window.location.replace from 64 files
2026-03-28T14:38	1	S0-006-no-signup-cta-above-fold-mobile.md	S0	ux	FIXED	1	7	PASS		3m	yes	Mobile signup button in hero, auth modal register tab
